ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,anomaly,anomaly_score
276.025367,6,263,43,53,2,0.00044,36,64,4,1,84,1,112,0,-0.32536739696963657
287.84507,6,154,43,53,2,0.000574,40,136,4,1,88,1,184,0,-0.31660464034242
287.846105,6,487,43,53,2,0.000437,40,148,4,1,88,1,196,0,-0.29134319356598565
293.774545,3,14,25,1177,1,3.000517,0,0,3,2,104,0,0,0,-0.24916172215413956
291.575085,6,205,43,53,2,0.000431,26,26,4,1,74,1,74,0,-0.30185170187948074
291.576056,12,239,48,5355,2,0.092141,44,0,3,2,140,0,0,0,-0.12679681095361162
291.576304,3,54,20,5355,2,0.092081,44,0,3,2,100,0,0,0,-0.14271676972338854
293.586071,6,247,43,53,2,0.142867,34,149,4,1,82,1,197,0,-0.32338094191272926
298.572209,3,18,36,80,1,0.051346,428,5299,4,5,640,6,5551,0,-0.07534892797160808
293.729471,6,226,43,53,2,0.031177,34,94,4,1,82,1,142,0,-0.3290105096640847
294.100875,6,227,43,53,2,0.000322,26,26,4,1,74,1,74,0,-0.29863655538338163
294.101482,12,159,48,5355,2,0.100322,44,0,3,2,140,0,0,0,-0.11979090702542439
294.101653,3,196,20,5355,2,0.10037,44,0,3,2,100,0,0,0,-0.14951817568812087
300.867062,3,23,36,80,1,0.051023,847,141,4,5,1059,4,313,0,-0.1432481239465071
300.865611,3,22,36,80,1,0.053132,480,141,4,5,692,4,313,0,-0.1588408318131509
296.680529,6,174,43,53,2,0.205535,40,136,4,1,88,1,184,0,-0.3141475042306899
297.496671,3,16,38,80,1,4.357607,1280,4277,1,9,1652,5,4489,0,-0.0928419494922611
296.918014,3,15,38,80,1,4.933394,1629,23800,1,14,2201,21,24652,1,0.0006598002615384457
301.814057,3,31,38,80,1,0.038163,0,0,1,2,92,1,52,0,-0.23308516673583468
301.814752,3,34,38,80,1,0.038256,0,0,1,2,92,1,52,0,-0.23308516673583468
301.814959,3,35,38,80,1,0.038479,0,0,1,2,92,1,52,0,-0.23277137731030972
301.814358,3,32,38,80,1,0.039133,0,0,1,2,92,1,52,0,-0.23308516673583468
301.81457,3,33,38,80,1,0.039204,0,0,1,2,92,1,52,0,-0.23308516673583468
301.815142,3,36,38,80,1,0.038684,0,0,1,2,92,1,52,0,-0.232457375507316
296.886602,6,508,43,53,2,0.03004,40,148,4,1,88,1,196,0,-0.2870223048149366
301.905375,6,277,43,53,1,0.002422,37,661,4,5,349,4,913,0,-0.15275982098516394
301.958127,3,281,16,80,1,0.238536,414,584,4,5,626,5,788,0,-0.14320272995886685
301.933194,3,278,1,80,1,0.264241,455,474,4,5,667,3,606,0,-0.11936984897844993
302.197112,3,284,16,80,1,0.250081,505,579,4,5,717,5,783,0,-0.13148157546624017
297.502131,6,477,43,53,2,0.16969,47,103,4,1,95,1,151,0,-0.262391160376835
297.672621,6,457,43,53,2,0.016856,47,115,4,1,95,1,163,0,-0.274056458988567
302.774061,3,14,25,1177,1,0,0,0,3,1,48,0,0,0,-0.2571686495810503
298.479992,6,201,43,53,2,0.135687,42,102,4,1,90,1,150,0,-0.30666616093910515
298.527422,6,97,43,53,2,0.033719,34,83,4,1,82,1,131,0,-0.3267551114217593
298.561715,6,246,43,53,2,0.009972,34,111,4,1,82,1,159,0,-0.3280172509111849
298.616223,6,243,43,53,2,0.016937,42,114,4,1,90,1,162,0,-0.31097500993208366
298.764958,6,460,43,53,2,0.024632,44,124,4,1,92,1,172,0,-0.2847311973393058
298.790061,6,526,43,53,2,0.008533,44,184,4,1,92,1,232,0,-0.2643165699691756
303.922752,3,311,41,80,1,0.058863,582,563,4,5,794,3,695,0,-0.14473510060609962
303.982082,3,312,41,80,1,0.064282,632,382,4,5,844,4,554,0,-0.14734390437931222
299.556163,6,86,43,53,2,0.895134,39,231,4,1,87,1,279,0,-0.28005229222858685
302.439322,3,289,21,80,1,2.228644,649,2215,1,6,901,5,2427,0,-0.15174210514737863
300.451968,6,262,43,53,2,0.327291,39,160,4,1,87,1,208,0,-0.30744605067244013
300.842558,6,231,43,53,2,0.649869,41,119,4,1,89,1,167,0,-0.2926563677839039
300.844115,6,202,43,53,2,0.173713,30,232,4,1,78,1,280,0,-0.30115942986763955
300.856278,6,46,43,53,2,0.080814,31,161,4,1,79,1,209,0,-0.30702142259812143
300.864187,6,171,43,53,2,0.1144,34,96,4,1,82,1,144,0,-0.32864749670060905
300.894167,6,471,43,53,2,0.090882,30,315,4,1,78,1,363,0,-0.2509073269165037
300.937665,6,218,43,53,2,0.014759,31,131,4,1,79,1,179,0,-0.3251421475343049
300.979184,6,200,43,53,2,0.012042,34,118,4,1,82,1,166,0,-0.33111281993577935
300.985582,6,92,43,53,2,0.310232,60,256,4,2,156,2,352,0,-0.22280610167838316
301.018391,6,225,43,53,2,0.015162,30,205,4,1,78,1,253,0,-0.3062860965610727
303.04126,3,305,34,443,1,3.105571,803,5346,4,10,1227,11,5889,0,-0.060601665812473615
301.285526,6,237,43,53,2,0.302057,30,248,4,1,78,1,296,0,-0.2867576554355417
301.503951,6,518,43,53,2,0.179869,41,151,4,1,89,1,199,0,-0.27438066479386725
301.505398,6,69,43,53,2,0.842021,33,388,4,1,81,1,436,0,-0.2465402984805662
301.588297,6,449,43,53,2,0.027526,30,144,4,1,78,1,192,0,-0.29236162969890017
301.771368,6,310,43,53,2,0.377698,32,397,4,1,80,1,445,0,-0.26005578425625037
301.771727,6,67,43,53,2,0.091929,34,211,4,1,82,1,259,0,-0.3069000936419584
301.788624,6,186,43,53,2,1.544741,38,367,4,1,86,1,415,0,-0.2442114620520689
301.78894,6,142,43,53,2,0.13031,38,77,4,1,86,1,125,0,-0.312856852528848
301.789281,6,258,43,53,2,0.566945,34,210,4,1,82,1,258,0,-0.3069678160215721
301.789598,6,546,43,53,2,0.115378,35,378,4,1,83,1,426,0,-0.23598170012622727
301.789916,6,140,43,53,2,0.133545,31,200,4,1,79,1,248,0,-0.311657129658888
301.790342,6,448,43,53,2,0.144944,31,69,4,1,79,1,117,0,-0.28593018530883046
301.790793,6,104,43,53,2,0.107622,33,110,4,1,81,1,158,0,-0.31716851407325103
301.794798,6,491,43,53,2,0.365029,34,211,4,1,82,1,259,0,-0.2802385115790272
301.86407,6,245,43,53,2,0.023872,34,136,4,1,82,1,184,0,-0.3294400960458574
291.868112,3,8,14,137,2,4.035751,300,0,3,6,468,0,0,0,-0.11962691104050949
301.899028,6,43,43,53,2,0.034757,33,95,4,1,81,1,143,0,-0.3064438207820704
301.908089,6,464,43,53,2,0.024588,35,120,4,1,83,1,168,0,-0.30698408402284655
301.919767,6,51,43,53,2,0.021948,38,121,4,1,86,1,169,0,-0.30868275647787585
301.923971,6,143,43,53,2,0.035833,31,112,4,1,79,1,160,0,-0.3214684831694739
301.935801,6,443,43,53,2,0.02175,31,118,4,1,79,1,166,0,-0.2999413476895904
301.974164,6,522,43,53,2,0.04854,35,204,4,1,83,1,252,0,-0.28699624906066096
302.027976,6,490,43,53,2,0.026734,35,100,4,1,83,1,148,0,-0.30400520979446594
302.149493,6,232,43,53,2,0.810692,64,434,4,2,160,2,530,0,-0.19729826204685158
